…Ó∂»	…˘ÀŸ
914	1471.09
916	1470.97
918	1470.77
920	1470.65
922	1470.61
924	1470.57
926	1470.45
928	1470.28
930	1470.24
932	1470.2
934	1470.16
936	1470.12
938	1470.09
940	1470.09
942	1469.97
944	1469.93
946	1469.93
948	1469.85
950	1469.65
952	1469.6
954	1469.61
956	1469.57
958	1469.53
960	1469.49
962	1469.41
964	1469.37
966	1469.37
968	1469.29
970	1469.25
972	1469.21
974	1469.17
976	1469.17
978	1469.17
980	1469.13
982	1469.09
984	1469.05
986	1469.05
988	1469.01
990	1469.01
992	1469.01
994	1468.89
996	1468.85
998	1468.81
1000	1468.73
1002	1468.65
1004	1468.57
1006	1468.53
1008	1468.53
1010	1468.53
1012	1468.53
1014	1468.53
1016	1468.53
1018	1468.49
1020	1468.45
1022	1468.41
1024	1468.33
1026	1468.33
1028	1468.21
1030	1468.13
1032	1468.09
1034	1468.05
1036	1467.97
1038	1467.97
1040	1467.97
1042	1467.97
1044	1467.97
1046	1467.97
1048	1467.93
1050	1467.93
1052	1467.85
1054	1467.73
1056	1467.61
1058	1467.61
1060	1467.57
1062	1467.57
1064	1467.49
1066	1467.49
1068	1467.49
1070	1467.37
1072	1467.24
1074	1467.25
1076	1467.2
1078	1467.16
1080	1467.16
1082	1467.12
1084	1467.08
1086	1467.04
1088	1467.04
1090	1466.96
1092	1466.88
1094	1466.84
1096	1466.72
1098	1466.68
1100	1466.64
1102	1466.6
1104	1466.56
1106	1466.51
1108	1466.48
1110	1466.43
1112	1466.35
1114	1466.35
1116	1466.31
1118	1466.31
1120	1466.19
1122	1466.11
1124	1466.11
1126	1466.11
1128	1466.07
1130	1466.07
1132	1466.03
1134	1465.95
1136	1465.95
1138	1465.95
1140	1465.91
1142	1465.87
1144	1465.87
1146	1465.79
1148	1465.71
1150	1465.66
1152	1465.67
1154	1465.62
1156	1465.58
1158	1465.58
1160	1465.54
1162	1465.54
1164	1465.5
1166	1465.46
1168	1465.38
1170	1465.3
1172	1465.22
1174	1465.22
1176	1465.22
1178	1465.22
1180	1465.22
1182	1465.22
1184	1465.18
1186	1465.18
1188	1465.18
1190	1465.1
1192	1465.06
1194	1464.93
1196	1464.89
1198	1464.89
1200	1464.81
1202	1464.77
1204	1464.73
1206	1464.69
1208	1464.65
1210	1464.65
1212	1464.61
1214	1464.61
1216	1464.61
1218	1464.61
1220	1464.57
1222	1464.57
1224	1464.53
1226	1464.49
1228	1464.49
1230	1464.45
1232	1464.45
1234	1464.45
1236	1464.41
1238	1464.37
1240	1464.33
1242	1464.33
1244	1464.29
1246	1464.29
1248	1464.29
1250	1464.29
1252	1464.25
1254	1464.21
1256	1464.21
1258	1464.17
1260	1464.17
1262	1464.13
1264	1464.13
1266	1464.09
1268	1464.05
1270	1464.05
1272	1464.01
1274	1464.01
1276	1464.01
1278	1464.01
1280	1464.01
1282	1464.01
1284	1463.97
1286	1463.97
1288	1463.93
1290	1463.93
1292	1463.93
1294	1463.89
1296	1463.89
1298	1463.9
1300	1463.85
1302	1463.86
1304	1463.81
1306	1463.77
1308	1463.77
1310	1463.78
1312	1463.73
1314	1463.69
1316	1463.69
1318	1463.69
1320	1463.65
1322	1463.65
1324	1463.61
1326	1463.57
1328	1463.53
1330	1463.53
1332	1463.53
1334	1463.53
1336	1463.49
1338	1463.45
1340	1463.41
1342	1463.41
1344	1463.41
1346	1463.41
1348	1463.42
1350	1463.37
1352	1463.37
1354	1463.38
1356	1463.38
1358	1463.29
1360	1463.25
1362	1463.25
1364	1463.21
1366	1463.21
1368	1463.21
1370	1463.22
1372	1463.22
1374	1463.17
1376	1463.18
1378	1463.18
1380	1463.18
1382	1463.18
1384	1463.18
1386	1463.18
1388	1463.18
1390	1463.18
1392	1463.18
1394	1463.14
1396	1463.14
1398	1463.14
1400	1463.15
1402	1463.15
1404	1463.15
1406	1463.15
1408	1463.15
1410	1463.11
1412	1463.11
1414	1463.11
1416	1463.11
1418	1463.07
1420	1463.07
1422	1463.07
1424	1463.07
1426	1463.08
1428	1463.08
1430	1463.08
1432	1463.08
1434	1463.04
1436	1463.04
1438	1463
1440	1463
1442	1463
1444	1463
1446	1463
1448	1463
1450	1463
1452	1463
1454	1462.96
1456	1462.96
1458	1462.96
1460	1462.97
1462	1462.97
1464	1462.93
1466	1462.93
1468	1462.93
1470	1462.84
1472	1462.85
1474	1462.85
1476	1462.85
1478	1462.81
1480	1462.81
1482	1462.76
1484	1462.77
1486	1462.77
1488	1462.73
1490	1462.73
1492	1462.73
1494	1462.73
1496	1462.73
1498	1462.73
1500	1462.69
1502	1462.69
1504	1462.65
1506	1462.65
1508	1462.65
1510	1462.65
1512	1462.61
1514	1462.61
1516	1462.61
1518	1462.61
1520	1462.62
1522	1462.62
1524	1462.62
1526	1462.58
1528	1462.58
1530	1462.58
1532	1462.73
1534	1462.73
1536	1462.73
1538	1462.73
1540	1462.73
1542	1462.76
1544	1462.77
1546	1462.77
1548	1462.81
1550	1462.81
1552	1462.84
1554	1462.85
1556	1462.85
1558	1462.85
1560	1462.93
1562	1462.93
1564	1462.93
1566	1462.96
1568	1462.96
1570	1462.96
1572	1462.97
1574	1462.97
1576	1463
1578	1463
1580	1463
1582	1463
1584	1463
1586	1463
1588	1463
1590	1463
1592	1463.04
1594	1463.04
1596	1463.07
1598	1463.07
1600	1463.07
1602	1463.07
1604	1463.08
1606	1463.08
1608	1463.08
1610	1463.08
1612	1463.11
1614	1463.11
1616	1463.11
1618	1463.11
1620	1463.14
1622	1463.14
1624	1463.14
1626	1463.15
1628	1463.15
1630	1463.15
1632	1463.15
1634	1463.15
1636	1463.17
1638	1463.18
1640	1463.18
1642	1463.18
1644	1463.18
1646	1463.18
1648	1463.18
1650	1463.18
1652	1463.18
1654	1463.18
1656	1463.21
1658	1463.21
1660	1463.21
1662	1463.22
1664	1463.22
1666	1463.25
1668	1463.25
1670	1463.29
1672	1463.37
1674	1463.37
1676	1463.38
1678	1463.38
1680	1463.41
1682	1463.41
1684	1463.41
1686	1463.41
1688	1463.42
1690	1463.45
1692	1463.49
1694	1463.53
1696	1463.53
1698	1463.53
1700	1463.53
1702	1463.57
1704	1463.61
1706	1463.65
1708	1463.65
1710	1463.69
1712	1463.69
1714	1463.69
1716	1463.73
1718	1463.77
1720	1463.77
1722	1463.78
1724	1463.81
1726	1463.85
1728	1463.86
1730	1463.89
1732	1463.89
1734	1463.9
1736	1463.93
1738	1463.93
1740	1463.93
1742	1463.97
1744	1463.97
1746	1464.01
1748	1464.01
1750	1464.01
1752	1464.01
1754	1464.01
1756	1464.01
1758	1464.05
1760	1464.05
1762	1464.09
1764	1464.13
1766	1464.13
1768	1464.17
1770	1464.17
1772	1464.21
1774	1464.21
1776	1464.25
1778	1464.29
1780	1464.29
1782	1464.29
1784	1464.29
1786	1464.33
1788	1464.33
1790	1464.37
1792	1464.41
1794	1464.45
1796	1464.45
1798	1464.45
1800	1464.49
1802	1464.49
1804	1464.53
1806	1464.57
1808	1464.57
1810	1464.61
1812	1464.61
1814	1464.61
1816	1464.61
1818	1464.65
1820	1464.65
1822	1464.69
1824	1464.73
1826	1464.77
1828	1464.81
1830	1464.89
1832	1464.89
1834	1464.93
1836	1465.06
1838	1465.1
1840	1465.18
1842	1465.18
1844	1465.18
1846	1465.22
1848	1465.22
1850	1465.22
1852	1465.22
1854	1465.22
1856	1465.22
1858	1465.3
1860	1465.38
1862	1465.46
1864	1465.5
1866	1465.54
1868	1465.54
1870	1465.58
1872	1465.58
1874	1465.62
1876	1465.66
1878	1465.67
1880	1465.71
1882	1465.79
1884	1465.87
1886	1465.87
1888	1465.91
1890	1465.95
1892	1465.95
1894	1465.95
1896	1466.03
1898	1466.07
1900	1466.07
1902	1466.11
1904	1466.11
1906	1466.11
1908	1466.19
1910	1466.31
1912	1466.31
1914	1466.35
1916	1466.35
1918	1466.43
1920	1466.48
1922	1466.51
1924	1466.56
1926	1466.6
1928	1466.64
1930	1466.68
1932	1466.72
1934	1466.84
1936	1466.88
1938	1466.96
1940	1467.04
1942	1467.04
1944	1467.08
1946	1467.12
1948	1467.16
1950	1467.16
1952	1467.2
1954	1467.24
1956	1467.25
1958	1467.37
1960	1467.49
1962	1467.49
1964	1467.49
1966	1467.57
1968	1467.57
1970	1467.61
1972	1467.61
1974	1467.73
1976	1467.85
1978	1467.93
1980	1467.93
1982	1467.97
1984	1467.97
1986	1467.97
1988	1467.97
1990	1467.97
1992	1467.97
1994	1468.05
1996	1468.09
1998	1468.13
2000	1468.21
2002	1468.33
2004	1468.33
2006	1468.41
2008	1468.45
2010	1468.49
2012	1468.53
2014	1468.53
2016	1468.53
2018	1468.53
2020	1468.53
2022	1468.53
2024	1468.57
2026	1468.65
2028	1468.73
2030	1468.81
2032	1468.85
2034	1468.89
2036	1469.01
2038	1469.01
2040	1469.01
2042	1469.05
2044	1469.05
2046	1469.09
2048	1469.13
2050	1469.17
2052	1469.17
2054	1469.17
2056	1469.21
2058	1469.25
2060	1469.29
2062	1469.37
2064	1469.37
2066	1469.41
2068	1469.49
2070	1469.53
2072	1469.57
2074	1469.6
2076	1469.61
2078	1469.65
2080	1469.85
2082	1469.93
2084	1469.93
2086	1469.97
2088	1470.09
2090	1470.09
2092	1470.12
2094	1470.16
2096	1470.2
2098	1470.24
2100	1470.28
2102	1470.45
2104	1470.57
2106	1470.61
2108	1470.65
2110	1470.77
2112	1470.97
2114	1471.08
2116	1471.09
2118	1471.12
2120	1471.12
2122	1471.16
2124	1471.24
2126	1471.24
2128	1471.28
2130	1471.28
2132	1471.28
2134	1471.28
2136	1471.36
2138	1471.44
2140	1471.56
2142	1471.64
2144	1471.83
2146	1471.83
2148	1471.83
2150	1471.83
2152	1471.83
2154	1471.83
2156	1471.84
2158	1471.87
2160	1471.87
2162	1471.9
2164	1471.9
2166	1471.9
2168	1471.91
2170	1471.91
2172	1471.94
2174	1471.94
2176	1471.94
2178	1472.1
2180	1472.14
2182	1472.18
2184	1472.3
2186	1472.38
2188	1472.42
2190	1472.45
2192	1472.46
2194	1472.49
2196	1472.53
2198	1472.57
2200	1472.65
2202	1472.69
2204	1472.69
2206	1472.73
2208	1472.77
2210	1472.85
2212	1472.97
2214	1473.04
2216	1473.16
2218	1473.28
2220	1473.28
2222	1473.28
2224	1473.32
2226	1473.4
2228	1473.4
2230	1473.43
2232	1473.47
2234	1473.47
2236	1473.55
2238	1473.59
2240	1473.79
2242	1473.91
2244	1474.03
2246	1474.18
2248	1474.3
2250	1474.38
2252	1474.58
2254	1474.65
2256	1474.69
2258	1474.73
2260	1474.85
2262	1474.89
2264	1474.93
2266	1475
2268	1475.04
2270	1475.08
2272	1475.12
2274	1475.15
2276	1475.15
2278	1475.16
2280	1475.16
2282	1475.16
2284	1475.19
2286	1475.27
2288	1475.31
2290	1475.39
2292	1475.39
2294	1475.46
2296	1475.5
2298	1475.54
2300	1475.61
2302	1475.62
2304	1475.62
2306	1475.62
2308	1475.69
2310	1475.73
2312	1475.85
2314	1475.97
2316	1476.08
2318	1476.12
2320	1476.16
2322	1476.16
2324	1476.2
2326	1476.23
2328	1476.27
2330	1476.43
