…Ó∂»	…˘ÀŸ
912	1470.98
914	1470.98
916	1470.86
918	1470.66
920	1470.54
922	1470.5
924	1470.46
926	1470.34
928	1470.18
930	1470.14
932	1470.1
934	1470.06
936	1470.02
938	1469.98
940	1469.98
942	1469.86
944	1469.82
946	1469.82
948	1469.74
950	1469.54
952	1469.5
954	1469.5
956	1469.46
958	1469.42
960	1469.38
962	1469.3
964	1469.26
966	1469.26
968	1469.18
970	1469.14
972	1469.1
974	1469.06
976	1469.06
978	1469.06
980	1469.02
982	1468.98
984	1468.94
986	1468.94
988	1468.9
990	1468.9
992	1468.9
994	1468.78
996	1468.74
998	1468.7
1000	1468.62
1002	1468.54
1004	1468.46
1006	1468.42
1008	1468.42
1010	1468.42
1012	1468.42
1014	1468.42
1016	1468.42
1018	1468.38
1020	1468.34
1022	1468.3
1024	1468.22
1026	1468.22
1028	1468.1
1030	1468.02
1032	1467.98
1034	1467.94
1036	1467.85
1038	1467.86
1040	1467.86
1042	1467.86
1044	1467.86
1046	1467.86
1048	1467.82
1050	1467.82
1052	1467.74
1054	1467.62
1056	1467.49
1058	1467.49
1060	1467.45
1062	1467.45
1064	1467.37
1066	1467.37
1068	1467.37
1070	1467.25
1072	1467.13
1074	1467.13
1076	1467.09
1078	1467.05
1080	1467.05
1082	1467.01
1084	1466.97
1086	1466.93
1088	1466.93
1090	1466.84
1092	1466.76
1094	1466.72
1096	1466.6
1098	1466.56
1100	1466.52
1102	1466.48
1104	1466.44
1106	1466.4
1108	1466.36
1110	1466.31
1112	1466.23
1114	1466.23
1116	1466.19
1118	1466.19
1120	1466.07
1122	1465.99
1124	1465.99
1126	1465.99
1128	1465.95
1130	1465.95
1132	1465.91
1134	1465.83
1136	1465.83
1138	1465.83
1140	1465.79
1142	1465.74
1144	1465.75
1146	1465.66
1148	1465.58
1150	1465.54
1152	1465.54
1154	1465.5
1156	1465.46
1158	1465.46
1160	1465.42
1162	1465.42
1164	1465.38
1166	1465.34
1168	1465.26
1170	1465.17
1172	1465.09
1174	1465.09
1176	1465.09
1178	1465.09
1180	1465.09
1182	1465.09
1184	1465.05
1186	1465.05
1188	1465.05
1190	1464.97
1192	1464.93
1194	1464.81
1196	1464.77
1198	1464.77
1200	1464.68
1202	1464.64
1204	1464.6
1206	1464.56
1208	1464.52
1210	1464.52
1212	1464.48
1214	1464.48
1216	1464.48
1218	1464.48
1220	1464.44
1222	1464.44
1224	1464.4
1226	1464.36
1228	1464.36
1230	1464.32
1232	1464.32
1234	1464.32
1236	1464.28
1238	1464.24
1240	1464.2
1242	1464.2
1244	1464.15
1246	1464.16
1248	1464.16
1250	1464.16
1252	1464.12
1254	1464.08
1256	1464.08
1258	1464.03
1260	1464.04
1262	1463.99
1264	1464
1266	1463.95
1268	1463.91
1270	1463.91
1272	1463.87
1274	1463.87
1276	1463.87
1278	1463.87
1280	1463.88
1282	1463.88
1284	1463.84
1286	1463.84
1288	1463.79
1290	1463.8
1292	1463.8
1294	1463.76
1296	1463.76
1298	1463.76
1300	1463.72
1302	1463.72
1304	1463.68
1306	1463.63
1308	1463.63
1310	1463.64
1312	1463.59
1314	1463.55
1316	1463.55
1318	1463.55
1320	1463.51
1322	1463.51
1324	1463.47
1326	1463.43
1328	1463.39
1330	1463.39
1332	1463.39
1334	1463.39
1336	1463.35
1338	1463.31
1340	1463.27
1342	1463.27
1344	1463.27
1346	1463.27
1348	1463.27
1350	1463.23
1352	1463.23
1354	1463.23
1356	1463.23
1358	1463.15
1360	1463.11
1362	1463.11
1364	1463.07
1366	1463.07
1368	1463.07
1370	1463.07
1372	1463.07
1374	1463.03
1376	1463.03
1378	1463.03
1380	1463.03
1382	1463.03
1384	1463.03
1386	1463.03
1388	1463.03
1390	1463.03
1392	1463.04
1394	1462.99
1396	1463
1398	1463
1400	1463
1402	1463
1404	1463
1406	1463
1408	1463
1410	1462.96
1412	1462.96
1414	1462.96
1416	1462.96
1418	1462.92
1420	1462.92
